question,answer
"admissions","You can apply online via our university portal. Admissions are open from January to March each year."
"office hours","University offices are open Monday – Friday, 9 AM – 5 PM."
"courses","The university offers the following programs:\n• Computer Science\n• Business Administration\n• Psychology\n• Data Science\n• Environmental Science\n• Mechanical Engineering\n• Nursing\n• Architecture\n• Finance\n• Marketing"
"available courses","You can enroll in these programs:\n• Computer Science\n• Business Administration\n• Psychology\n• Data Science\n• Environmental Science\n• Mechanical Engineering\n• Nursing\n• Architecture\n• Finance\n• Marketing"
"computer science program","The Computer Science program is a 4-year undergraduate degree. Prerequisites: Math and basic programming. You will learn algorithms, databases, AI, and software development."
"computer science prerequisites","Prerequisites for Computer Science: Mathematics, Physics, and basic programming knowledge."
"computer science duration","The Computer Science program lasts 4 years with 8 semesters."
"computer science modules","Modules include Algorithms, Data Structures, Databases, Operating Systems, AI, Machine Learning, Web Development, Software Engineering."
"computer science electives","Electives include Cybersecurity, Mobile App Development, Cloud Computing, and Computer Graphics."
"computer science career prospects","Graduates can work as Software Developers, Data Analysts, AI Engineers, and Web Developers."
"data science program","The Data Science program is a 4-year undergraduate degree covering statistics, machine learning, big data, and visualization."
"data science prerequisites","Prerequisites: Mathematics, Statistics, and basic programming."
"data science duration","The Data Science program lasts 4 years with 8 semesters."
"data science modules","Modules include Statistics, Python Programming, Data Mining, Machine Learning, Big Data Analytics, and Visualization."
"data science electives","Electives include Deep Learning, NLP, Business Analytics, and Cloud Computing."
"data science career prospects","Graduates can work as Data Scientists, Data Analysts, ML Engineers, and BI Consultants."
"business administration program","The Business Administration program is a 3-year undergraduate degree covering management, marketing, finance, and entrepreneurship."
"business administration prerequisites","Prerequisites: Basic mathematics and English proficiency."
"business administration duration","The Business Administration program lasts 3 years with 6 semesters."
"business administration modules","Modules include Principles of Management, Marketing, Accounting, Finance, Business Law, and Entrepreneurship."
"business administration electives","Electives include International Business, Digital Marketing, Supply Chain Management, and Human Resources."
"business administration career prospects","Graduates can work as Business Analysts, Marketing Executives, Financial Advisors, and Managers."
"psychology program","The Psychology program is a 3-year undergraduate degree covering cognitive, social, and developmental psychology."
"psychology prerequisites","Prerequisites: English and Biology."
"psychology duration","The Psychology program lasts 3 years with 6 semesters."
"psychology modules","Modules include Cognitive Psychology, Social Psychology, Developmental Psychology, Abnormal Psychology, and Research Methods."
"psychology electives","Electives include Forensic Psychology, Counseling Psychology, and Organizational Behavior."
"psychology career prospects","Graduates can work as Counselors, Psychologists, HR Specialists, and Researchers."
"library hours","The library is open Monday – Friday, 8 AM – 10 PM, and Saturday, 9 AM – 6 PM."
"library location","The main library is located in Building A, near the central quad."
"library borrowing policy","Students can borrow up to 10 books at a time for 2 weeks. Renewals available online."
"tuition fees","Tuition fees vary by program. For undergraduate programs: RM 10,000 – RM 18,000 per year."
"scholarships","Scholarships are available based on merit and financial need. Apply online via our scholarship portal."
"exams","Exams are held at the end of each semester. Check the academic calendar for exact dates."
"housing options","On-campus housing includes single and shared dorms. Off-campus housing guidance is available via our Housing Office."
"mechanical engineering program","The Mechanical Engineering program is a 4-year undergraduate degree covering thermodynamics, mechanics, and robotics."
"mechanical engineering prerequisites","Prerequisites: Physics, Chemistry, and Mathematics."
"mechanical engineering duration","The Mechanical Engineering program lasts 4 years with 8 semesters."
"mechanical engineering modules","Modules include Mechanics, Thermodynamics, Robotics, Materials Science, and CAD."
"mechanical engineering electives","Electives include Automotive Engineering, Aerospace Engineering, and Renewable Energy."
"mechanical engineering career prospects","Graduates can work as Mechanical Engineers, CAD Designers, Robotics Engineers, and Project Engineers."
"nursing program","The Nursing program is a 3-year undergraduate degree covering anatomy, physiology, and clinical practice."
"nursing prerequisites","Prerequisites: Biology, Chemistry, and English."
"nursing duration","The Nursing program lasts 3 years with 6 semesters."
"nursing modules","Modules include Anatomy, Physiology, Pharmacology, Clinical Nursing, and Patient Care."
"nursing electives","Electives include Pediatric Nursing, Geriatric Care, Mental Health Nursing, and Community Health."
"nursing career prospects","Graduates can work as Registered Nurses, Clinical Nurses, Health Advisors, and Hospital Administrators."
"architecture program","The Architecture program is a 5-year undergraduate degree covering design, urban planning, and construction."
"architecture prerequisites","Prerequisites: Mathematics, Art, and English."
"architecture duration","The Architecture program lasts 5 years with 10 semesters."
"architecture modules","Modules include Architectural Design, Urban Planning, Structural Engineering, Materials, and Sustainability."
